key,Location,date,humidity,temperature
-N5rcZHlS-dhzgRY_YO1,Casa1DHT,1656643273.524654,51.00,22.80
-N5rjQjlfVtYqqNWf_s4,Casa1DHT,1656645073.517597,51.00,22.80
-N5rqIBQDvYz-LvZrJbV,Casa1DHT,1656646873.510691,51.00,22.70
-N5rx9clNTIXgKWQ4I8X,Casa1DHT,1656648673.498029,51.00,22.70
-N5s315SUVh15TGHRCVW,Casa1DHT,1656650473.480523,51.00,22.70
-N5s9tXd8CBGlzAX_HoV,Casa1DHT,1656652273.466898,51.00,22.70
-N5sGkzdr0bj69jPUYYg,Casa1DHT,1656654073.46742,50.00,22.60
-N5sNcR6mz5Nwqf3odze,Casa1DHT,1656655873.459821,49.00,22.60
-N5sUUtqJ3xJYdalVJgs,Casa1DHT,1656657673.453628,49.00,22.60
-N5saML6qC8XkbLZ7hBe,Casa1DHT,1656659473.441266,49.00,22.60
-N5shDmtLKinLiSQ8bqF,Casa1DHT,1656661273.427485,49.00,22.60
-N5so5EvaluPS4OPuV5G,Casa1DHT,1656663073.415875,50.00,22.60
-N5suxgts3c9aU1g_YEf,Casa1DHT,1656664873.410833,51.00,22.60
-N5t0p8bOkPt8L6J4lyT,Casa1DHT,1656666673.399923,48.00,22.60
-N5t7gav2bHuYtfbvVD0,Casa1DHT,1656668473.392635,51.00,22.60
-N5tEZ2-u2xqFEuH76gh,Casa1DHT,1656670273.379105,51.00,22.60
-N5tLQVVfOKjiajnmSQY,Casa1DHT,1656672073.367438,51.00,22.60
-N5tSHxJwsNok3g90B1t,Casa1DHT,1656673873.361829,51.00,22.70
-N5tZ9OsGY525Umdjuic,Casa1DHT,1656675673.3593,53.00,22.70
-N5tf0qVV24jO4C-DAmS,Casa1DHT,1656677473.352894,54.00,22.80
-N5tltIUPyViXjjve03h,Casa1DHT,1656679273.343667,55.00,22.80
-N5tskl3Zs-hQxjduZyO,Casa1DHT,1656681073.329097,54.00,22.90
-N5tzcCBUIwRDlTbICED,Casa1DHT,1656682873.311426,54.00,22.90
-N5u5UdruqL9TJrwWAe2,Casa1DHT,1656684673.300856,53.00,23.00
-N5uCM6AqkBS04fdPR7D,Casa1DHT,1656686473.292768,53.00,23.10
-N5uJDYKiBl0ys0zePlN,Casa1DHT,1656688273.284296,54.00,23.20
-N5uQ5-nBpoIeOikniqH,Casa1DHT,1656690073.274547,54.00,23.20
-N5uWxSFpnH0tSgXl2av,Casa1DHT,1656691873.265274,54.00,23.30
-N5ucoumpvuKSiBfKFq3,Casa1DHT,1656693673.266431,54.00,23.30
-N5ujgLftAXdrV-wYO0h,Casa1DHT,1656695473.248309,54.00,23.30
-N5uqYo6CWgd9NSdtpjs,Casa1DHT,1656697273.240682,54.00,23.30
-N5uxQFevNYazYEqG-sm,Casa1DHT,1656699073.226652,52.00,23.30
-N5v3HhgUru-uyPofIlu,Casa1DHT,1656700873.221624,52.00,23.30
-N5vA99Fu-utlzhmtX8k,Casa1DHT,1656702673.213805,52.00,23.30
